Origin of trust,Aus,Bel,Den,Fin,Fra,Ger,Gre,Ire,Ita,NL,Nor,Por,Spa,Swe,UK
Aus,0.38,-0.00,-0.06,-0.04,-0.05,0.10,-0.02,-0.06,-0.01,-0.04,-0.04,-0.03,-0.04,-0.01,-0.08
Bel,-0.03,0.12,-0.02,-0.04,0.02,-0.03,-0.00,-0.01,0.02,-0.03,-0.06,0.01,-0.01,-0.04,-0.04
Den,0.05,-0.04,0.31,0.04,-0.08,-0.03,-0.05,0.02,-0.04,0.10,0.22,-0.04,-0.06,0.15,0.05
Fin,0.05,-0.04,0.06,0.36,-0.08,-0.07,-0.10,-0.05,-0.12,-0.03,0.16,-0.12,-0.14,0.09,0.03
Fra,-0.07,0.04,-0.01,-0.03,0.25,0.06,0.01,0.01,0.05,-0.02,-0.03,0.04,0.04,-0.01,-0.05
Ger,0.09,-0.03,0.01,-0.02,0.06,0.39,-0.02,-0.05,-0.00,0.00,-0.01,-0.04,-0.02,0.03,-0.07
Gre,-0.16,-0.13,-0.18,-0.15,-0.07,-0.12,0.42,-0.07,0.01,-0.18,-0.18,-0.02,-0.00,-0.13,-0.14
Ire,-0.06,-0.04,-0.07,-0.08,-0.01,-0.05,0.01,0.41,0.06,-0.06,-0.09,0.01,-0.01,-0.10,-0.04
Ita,-0.04,-0.03,-0.00,0.00,0.06,0.10,0.01,0.01,0.21,0.01,-0.03,0.00,0.03,-0.00,0.03
NL,-0.06,0.03,0.18,0.08,-0.09,-0.02,-0.05,0.01,-0.03,0.21,0.10,-0.01,-0.02,0.12,0.01
Nor,,0.01,0.24,,-0.05,-0.04,-0.08,0.02,-0.06,0.05,,-0.08,-0.10,,0.10
Por,-0.10,-0.08,-0.11,-0.11,0.01,-0.06,-0.03,-0.06,0.04,-0.10,-0.13,0.37,0.04,-0.13,-0.05
Spa,-0.08,-0.07,-0.07,-0.08,-0.07,0.01,-0.04,-0.04,0.05,-0.05,-0.05,0.04,0.41,-0.04,-0.13
Swe,0.08,-0.06,0.12,0.08,-0.11,-0.08,-0.08,0.02,-0.08,-0.03,0.15,-0.07,-0.12,0.10,0.07
UK,-0.05,-0.02,0.02,-0.03,-0.08,-0.11,-0.01,0.03,0.03,0.04,-0.01,0.01,-0.01,-0.03,0.28
